사업명,부품관리번호,재고번호,군급분류,품명,도면번호,도면부품번호,규격번호,계약업체,최종수정일
K-2 전차,M00064438,375090129,1230.0,"손잡이 조립체,포수조절용,우측용",60715852,703948,,(주)두산 (모트롤BG 창원공장),
K-2 전차,M51321164,37A194189,5305.0,고정나사,60715851,60715851,,SPS CO.,
K-2 전차,M51321164,37A194189,5305.0,고정나사,60715851,60715851,,SPS CO.,
K-2 전차,M00042791,375166183,5998.0,제어기,61514400,61514400,,현대로템 주식회사,
K-2 전차,M51372026,375306634,5998.0,회로카드 조립체,61514410,61514410,,현대로템 주식회사,
K-2 전차,M51372059,375306637,6150.0,"배선장치,갈래형",61514560,61514560,,연합정밀(주),
K-2 전차,M00042792,375306707,6350.0,"제어장치,전자부속용",61514600,61514600,,현대로템 주식회사,
K-2 전차,M00042793,375235666,6110.0,분배함,61514620,61514620,,건웅테크 주식회사,
K-2 전차,M00042794,37A289712,6615.0,"자이로스코프,변위용",61514640,61514640,,현대로템 주식회사,
K-2 전차,M00043368,375550060,5340.0,"완충기,비금속제",60725711,60725711,,현대로템 주식회사,
K-2 전차,M00043369,375013560,3120.0,"부싱,슬리브형",60725713,60725714,,부산교도소,
K-2 전차,M51345523,375013679,5310.0,"와셔,평면형",60799301,60799311,,태창정밀,
K-2 전차,M00041466,375291200,2350.0,"고각장치,곡사포용",61515050,61515050,,(주)두산 (모트롤BG 창원공장),
K-2 전차,M00042498,375089438,5315.0,"핀,어깨형,무두형",60715140,60715140,,태창정밀,
K-2 전차,M51804503,375044944,5365.0,"링,지지용",,,KS B 1336,주식회사 티이씨씨,
K-2 전차,M00041476,375264641,5340.0,"잠금장치,전자기식",61515350,61515350,,건웅테크 주식회사,
K-2 전차,M00041483,375235588,3110.0,"판,지지용,베어링용",61515410,61515410,,현대로템 주식회사,
K-2 전차,M00041487,375235655,3040.0,"브래킷,아이형,회전축용",61515445,61515445,,주식회사 종한,
K-2 전차,M00041488,375235591,3040.0,"브래킷,아이형,회전축용",61515446,61515446,,주식회사 종한,
K-2 전차,M00041489,375235597,5340.0,"브래킷,앵글형",61515447,61515447,,주식회사 종한,
K-2 전차,M00041490,375166675,5340.0,"손잡이조립체,선회용",61515450,61515450,,삼호정밀,
K-2 전차,M00041491,375243613,5340.0,"손잡이,수동조작용",61515460,61515460,,삼호정밀,
K-2 전차,M00043812,375077826,5340.0,"띠,지지용",60332934,60332934,,현대로템 주식회사,
K-2 전차,M51092638,371302032,5306.0,"나사,십자홈식",,,KS B 1023,아시아자동차공업(주),
K-2 전차,M51092651,375053566,5310.0,"와셔,잠금식",,,KS B 1324,대우발전파워(주),
K-2 전차,M00037420,375087172,5340.0,"연결기,오리피스용",70015125,70015125,,한화디펜스주식회사,
K-2 전차,M00039562,375012703,4730.0,"커플링,호스용",70014776,70014776,,에스지생활안전 주식회사,
K-2 전차,M00043507,375013458,9905.0,"판,안내용",60730174,60730174,,현대로템 주식회사,
K-2 전차,M00042789,375166718,5996.0,"증폭기,전자제어식",61514100,61514100,,(주)두산 (모트롤BG 창원공장),
K-2 전차,M00042790,375166719,5996.0,"증폭기,전자제어식",61514300,61514300,,(주)두산 (모트롤BG 창원공장),
K-2 전차,M51376619,375243624,5355.0,손잡이,61527108,61527108,,현대로템 주식회사,
K-2 전차,M51376661,375243646,5999.0,"하우징,전자 구성품용",61527169,61527169,,현대로템 주식회사,
K-2 전차,M51376619,375243624,5355.0,손잡이,61527108,61527108,,현대로템 주식회사,
K-2 전차,M51376661,375243646,5999.0,"하우징,전자 구성품용",61527169,61527169,,현대로템 주식회사,
K-2 전차,M51321949,375011692,5340.0,"클립,용수철 장력식",60721015,60721015,,덕인산업,2021-06-14
K-2 전차,M00021052,375166769,5860.0,"센서 유닛,레이져 탐지 세트용",61516702,61516702,,한화시스템(주),
K-2 전차,M00041372,375219164,4140.0,"송풍기,순환식",61520500,61520500,,주식회사 동성전기,2021-06-14
K-2 전차,M51374037,375174251,6350.0,모터 조립체,61520501,61520501,,현대로템 주식회사,
K-2 전차,M51374074,375174252,5342.0,"브래킷,설치용",61520538,61520538,,현대로템 주식회사,
K-2 전차,M00041676,375167144,6110.0,"제어장치,원격스위치용",61519201,61519201,,현대로템 주식회사,
K-2 전차,M51373897,375235903,5998.0,회로카드 조립체,61520170,61520170-6,,현대로템 주식회사,
K-2 전차,M51373926,375235891,5998.0,회로카드 조립체,61520230,61520230,,현대로템 주식회사,
K-2 전차,M51322566,375018555,5340.0,"플런저,신속 분리식",60723533,60723533,,현대모비스(주),2021-06-14
K-2 전차,M51322590,375015917,5340.0,"클램프,루프형",60723555,60723555,,현대모비스(주),2021-06-14
K-2 전차,M00041679,375218794,5995.0,"케이블 조립체,특수목적용,전기용,갈래",61519611,61519611,,덕인산업,2021-06-14
K-2 전차,M00041682,375218797,5995.0,"케이블 조립체,특수목적용,전기용",61519614,61519614,,덕인산업,2021-06-14
K-2 전차,M00041684,375218799,5995.0,"케이블 조립체,특수목적용,전기용,갈래",61519616,61519616,,덕인산업,2021-06-14
K-2 전차,M00041689,375218805,5995.0,"케이블 조립체,특수목적용,전기용,갈래",61519623,61519623,,연합정밀(주),
K-2 전차,M00041750,375218825,5995.0,"케이블 조립체,특수목적용,전기용,갈래",61519654,61519654,,연합정밀(주),
K-2 전차,M00041756,375218832,5995.0,"케이블 조립체,특수목적용,전기용,갈래",61519674,61519674,,덕인산업,2021-06-14
K-2 전차,M00041773,375219135,5995.0,"케이블 조립체,특수목적용,전기용,갈래",61519715,61519715,,연합정밀(주),
K-2 전차,M00041775,375219137,5995.0,"케이블 조립체,특수목적용,전기용",61519722,61519722,,연합정밀(주),
K-2 전차,M00041816,375219139,5995.0,"케이블 조립체,특수목적용,전기용",61519732,61519732,,연합정밀(주),
K-2 전차,M00043368,375550060,5340.0,"완충기,비금속제",60725711,60725711,,현대로템 주식회사,
K-2 전차,M51322577,375015930,5905.0,"저항기,가변식,권선형,비정밀형",60723543,60723543,,현대모비스(주),2021-06-14
K-2 전차,M51322563,375017369,5330.0,"시일,비금속 특수단면용",60723531,60723531,,현대모비스(주),2021-06-14
K-2 전차,M51322595,375015833,5930.0,"부트,먼지 및 습기 방지용",60723559,60723559,,세영테크주식회사,
K-2 전차,M00178075,375018261,6220.0,"리테이너,렌즈용",60723516,60723516,,한화에어로스페이스 주식회사,
K-2 전차,M51322589,375015916,5325.0,"그로밋,비금속제",60723554,60723554,,현대모비스(주),2021-06-14
K-2 전차,M51322588,375015919,5340.0,"클립,용수철 장력식",60723553,60723553,,현대모비스(주),2021-06-14
K-2 전차,M00177625,375015832,5930.0,"부트,먼지 및 습기 방지용",60723556,60723556,,한화에어로스페이스 주식회사,
